source,target,weight,topics,edge_type
Rolf Heiner Koch,Sn. Subrahmanya,2,General scholarly discussion,thread_coparticipation
Rolf Heiner Koch,S Krishna,2,General scholarly discussion,thread_coparticipation
Dr Y. Vassilkov,Valerie J Roebuck,2,General scholarly discussion|History and culture,thread_coparticipation
Dr Y. Vassilkov,Ramadas,2,General scholarly discussion,thread_coparticipation
P. Anand,Srini Pichumani,2,General scholarly discussion|History and culture,thread_coparticipation
P. Anand,Samar Abbas,2,General scholarly discussion|History and culture,thread_coparticipation
Brendan Gillon,Greg Bailey,2,General scholarly discussion|Texts and philology,thread_coparticipation
LUSTHAUS at macalstr.edu,vidya,2,General scholarly discussion,thread_coparticipation
"Clough, Bradley",alakendu das,2,General scholarly discussion,thread_coparticipation
Andrew Nicholson,patrick mccartney,2,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Yasuhiro Okazaki,2,General scholarly discussion,thread_coparticipation
John Smith,Rolf Heiner Koch,2,General scholarly discussion,thread_coparticipation
V.C.Vijayaraghavan,nanda chandran,2,General scholarly discussion|History and culture,thread_coparticipation
Steve Farmer,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
N. Ganesan,V.C.Vijayaraghavan,2,General scholarly discussion,thread_coparticipation
Lakshmi Srinivas,V.C.Vijayaraghavan,2,General scholarly discussion,thread_coparticipation
Ramadas,nanda chandran,2,General scholarly discussion,thread_coparticipation
Peter Mukunda Pasedach,alakendu das,2,General scholarly discussion,thread_coparticipation
Bill Mak,Harry Spier,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Jesse Knutson,Manu Francis,2,General scholarly discussion,thread_coparticipation
Anand Venkt Raman,Gary M Tartakov,2,General scholarly discussion,thread_coparticipation
"Hock, Hans Henrich",Robert Goldman,2,General scholarly discussion|Texts and philology,thread_coparticipation
Manu Francis,Petra Kieffer-Pülz,2,General scholarly discussion,thread_coparticipation
Bill Mak,Manu Francis,2,General scholarly discussion,thread_coparticipation
David Pierdominici,Dominik Wujastyk,2,Bibliographic requests,thread_coparticipation
Georges PINAULT,Jonathan Edelmann,2,General scholarly discussion|Veda and ritual,thread_coparticipation
C.R. Selvakumar,V.C.Vijayaraghavan,2,General scholarly discussion,thread_coparticipation
Bijoy Misra,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
Bijoy Misra,Edwin Bryant,2,General scholarly discussion|History and culture,thread_coparticipation
Bijoy Misra,C.R. Selvakumar,2,General scholarly discussion,thread_coparticipation
Arun Gupta,Edwin Bryant,2,General scholarly discussion|History and culture,thread_coparticipation
Arun Gupta,hans henrich hock,2,General scholarly discussion,thread_coparticipation
Chandan Raghava Narayan,Rolf Heiner Koch,2,General scholarly discussion,thread_coparticipation
Royce Wiles,Sara McClintock,2,Buddhism and Jainism|General scholarly discussion,thread_coparticipation
Dr. M.F. Tritsch,J.B. Sharma,2,General scholarly discussion|History and culture,thread_coparticipation
Deepak Sarma,"Olivelle, J P",2,General scholarly discussion|Texts and philology,thread_coparticipation
Brendan Gillon,Matthew Kapstein,2,History and culture|Texts and philology,thread_coparticipation
Brendan Gillon,Howard Resnick,2,General scholarly discussion|Texts and philology,thread_coparticipation
Dean Michael Anderson,Michael Williams,2,General scholarly discussion,thread_coparticipation
Dick Plukker,Tyler Williams,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
Dick Plukker,Harry Spier,2,General scholarly discussion|Grammar and linguistics,thread_coparticipation
Jonathan Silk,Tejas Aralere,2,General scholarly discussion|Texts and philology,thread_coparticipation
Alfred Hiltebeitel,Jonathan Silk,2,Bibliographic requests|Texts and philology,thread_coparticipation
Stephen H. Phillips,kellner at ue.ipc.hiroshima-u.ac.jp,2,General scholarly discussion,thread_coparticipation
Gary M Tartakov,wagers at computek.net,2,General scholarly discussion,thread_coparticipation
David and Nancy Reigle,Philipp Maas,2,Bibliographic requests,thread_coparticipation
Lars Martin Fosse,Prof. D N Jha,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,Prasad Velusamy,2,Digital resources and tools|Texts and philology,thread_coparticipation
Ramalingam Shanmugalingam,nanda chandran,2,General scholarly discussion|History and culture,thread_coparticipation
K V N Gopal,Sudalaimuthu Palaniappan,2,General scholarly discussion,thread_coparticipation
Kumar Kumarappan,Lakshmi Srinivas,2,General scholarly discussion|History and culture,thread_coparticipation
Edwin Bryant,V.C.Vijayaraghavan,2,General scholarly discussion|History and culture,thread_coparticipation
Nathan McGovern,"Olivelle, J P",2,General scholarly discussion|History and culture,thread_coparticipation
Nagaraj Paturi,Toke Knudsen,2,General scholarly discussion,thread_coparticipation
Charles DiSimone,Nagaraj Paturi,2,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Elliot Stern,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Andrew Ollett,Steve Farmer,2,General scholarly discussion,thread_coparticipation
"Tieken, H.J.H.",edbryant at rci.rutgers.edu,2,General scholarly discussion|Texts and philology,thread_coparticipation
Madhav Deshpande,edbryant at rci.rutgers.edu,2,General scholarly discussion|Texts and philology,thread_coparticipation
George Thompson,edbryant at rci.rutgers.edu,2,General scholarly discussion|Texts and philology,thread_coparticipation
Lars Martin Fosse,Ulrich T. Kragh,2,General scholarly discussion,thread_coparticipation
Georg von Simson,Ramalingam Shanmugalingam,2,General scholarly discussion,thread_coparticipation
Dr Y. Vassilkov,L.S.Cousins,2,General scholarly discussion,thread_coparticipation
C.R. Selvakumar,Prasad Velusamy,2,General scholarly discussion|History and culture,thread_coparticipation
Roland Steiner,Simon Brodbeck,2,General scholarly discussion,thread_coparticipation
Harry Falk,Simon Brodbeck,2,General scholarly discussion,thread_coparticipation
Eli Franco,Roland Steiner,2,General scholarly discussion,thread_coparticipation
Elliot Stern,Isabelle Ratie,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Michael Williams,alakendu das,2,General scholarly discussion,thread_coparticipation
Michael Williams,Nagaraj Paturi,2,General scholarly discussion,thread_coparticipation
Anand Venkt Raman,n.rao at rz.uni-sb.de,2,General scholarly discussion,thread_coparticipation
Ashok Aklujkar,edbryant at rci.rutgers.edu,2,General scholarly discussion,thread_coparticipation
Aleksandar Uskokov,George Thompson,2,General scholarly discussion,thread_coparticipation
Dániel Balogh,Rolf Heinrich Koch,2,General scholarly discussion,thread_coparticipation
Dr. Sweta Prajapati,Dr. T. Ganesan,2,Announcements and events|General scholarly discussion,thread_coparticipation
Madhav Deshpande,Malcolm Keating,2,General scholarly discussion,thread_coparticipation
Geoffrey Samuel,"Witzel, Michael",2,General scholarly discussion,thread_coparticipation
Jean-Luc Chevillard,alakendu das,2,General scholarly discussion,thread_coparticipation
Allen Thrasher,pclaus at s1.csuhayward.edu,2,General scholarly discussion,thread_coparticipation
Dominique.Thillaud,Michael Witzel,2,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Dr Y. Vassilkov,2,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Arun Gupta,2,General scholarly discussion,thread_coparticipation
Geoffrey Samuel,Narayan S. Raja,2,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,K V N Gopal,2,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Geoffrey Samuel,2,General scholarly discussion,thread_coparticipation
Harry Falk,Muneo Tokunaga,2,General scholarly discussion,thread_coparticipation
Dagmar Wujastyk,Jan E.M. Houben,2,General scholarly discussion,thread_coparticipation
David and Nancy Reigle,Suresh Kolichala,2,Digital resources and tools|Texts and philology,thread_coparticipation
Stella Sandahl,alakendu das,2,General scholarly discussion,thread_coparticipation
George Thompson,Joydeep,2,General scholarly discussion|Texts and philology,thread_coparticipation
John Brockington,Nagaraj Paturi,2,General scholarly discussion|Texts and philology,thread_coparticipation
Luis Gonzalez-Reimann,Rajesh Kochhar,2,General scholarly discussion|Texts and philology,thread_coparticipation
Hans Henrich Hock,Rajarshi Banerjee,2,General scholarly discussion|Texts and philology,thread_coparticipation
Allen W Thrasher,Lambodara,2,Announcements and events|General scholarly discussion,thread_coparticipation
James L. Fitzgerald,N. Ganesan,2,General scholarly discussion,thread_coparticipation
Peter Freund,Vidyasankar Sundaresan,2,General scholarly discussion,thread_coparticipation
Dmitri,Dominik Wujastyk,2,General scholarly discussion,thread_coparticipation
Arun Gupta,Georg von Simson,2,General scholarly discussion,thread_coparticipation
mrabe at artic.edu,r.l.schmidt at easteur-orient.uio.no,2,General scholarly discussion,thread_coparticipation
Nagaraj Paturi,michael baltutis,2,General scholarly discussion,thread_coparticipation
Matthew Kapstein,michael baltutis,2,General scholarly discussion,thread_coparticipation
Klaus Karttunen,"Olivelle, J P",2,General scholarly discussion,thread_coparticipation
Csaba Dezso,Peter Wyzlic,2,General scholarly discussion,thread_coparticipation
Csaba Dezso,Jesse Knutson,2,Bibliographic requests|General scholarly discussion,thread_coparticipation
Csaba Dezso,Jan E.M. Houben,2,General scholarly discussion,thread_coparticipation
Robin Kornman,l.m.fosse at easteur-orient.uio.no,2,General scholarly discussion,thread_coparticipation
Peter D Banos,mani at srirangam.esd.sgi.com,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
Anand M. Sharan,Steve Farmer,2,General scholarly discussion,thread_coparticipation
Anand M. Sharan,Arlo Griffiths,2,General scholarly discussion,thread_coparticipation
Rustam Masalewala,Vidyasankar Sundaresan,2,General scholarly discussion,thread_coparticipation
Jon Skarpeid,nanda chandran,2,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Samar Abbas,2,General scholarly discussion,thread_coparticipation
JR Gardner,Rolf Heiner Koch,2,General scholarly discussion|History and culture,thread_coparticipation
Narahari Achar,Rajesh Kochhar,2,General scholarly discussion|Texts and philology,thread_coparticipation
Balogh Dániel,Matthew Kapstein,2,General scholarly discussion,thread_coparticipation
Balogh Dániel,Lubomír Ondračka,2,General scholarly discussion,thread_coparticipation
Balogh Dániel,Jesse Knutson,2,General scholarly discussion,thread_coparticipation
Camillo Formigatti,Jon Skarpeid,2,General scholarly discussion,thread_coparticipation
Christophe Vielle,"Clough, Bradley",2,General scholarly discussion,thread_coparticipation
Jan E.M. Houben,Manu Francis,2,General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Anshuman Pandey,David Magier,2,Announcements and events|General scholarly discussion,thread_coparticipation
Dominik Wujastyk,mail07464 at pop.net,2,General scholarly discussion|History and culture,thread_coparticipation
Madhav Deshpande,Sn. Subrahmanya,2,General scholarly discussion,thread_coparticipation
Joel H. Tatelman,Yaroslav V. Vassilkov,2,General scholarly discussion,thread_coparticipation
George Thompson,JR Gardner,2,General scholarly discussion,thread_coparticipation
Bijoy Misra,Jon Skarpeid,2,General scholarly discussion,thread_coparticipation
Anand M. Sharan,Vidyasankar Sundaresan,2,General scholarly discussion,thread_coparticipation
JAEKWAN SHIM,Stephen Hodge,2,Digital resources and tools|History and culture,thread_coparticipation
Dominique.Thillaud,Girish Sharma,2,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Girish Sharma,2,General scholarly discussion,thread_coparticipation
Allen W Thrasher,Dominique.Thillaud,2,General scholarly discussion,thread_coparticipation
Allen W Thrasher,DEVARAKONDA VENKATA NARAYANA SARMA,2,General scholarly discussion,thread_coparticipation
Georges PINAULT,Walter Slaje,2,General scholarly discussion|Veda and ritual,thread_coparticipation
Jesse Knutson,"Tieken, H.J.H.",2,General scholarly discussion,thread_coparticipation
Alfred Hiltebeitel,Robert Zydenbos,2,General scholarly discussion,thread_coparticipation
Axel Michaels,witzel at HUSC3.HARVARD.EDU,2,General scholarly discussion,thread_coparticipation
Frank Conlon,jonathan.silk at wmich.edu,2,General scholarly discussion|Texts and philology,thread_coparticipation
Alfred Hiltebeitel,Lubomír Ondračka,2,General scholarly discussion,thread_coparticipation
"Eltschinger, Vincent",alakendu das,2,General scholarly discussion,thread_coparticipation
Allen Thrasher,Axel Michaels,2,General scholarly discussion|History and culture,thread_coparticipation
"Clarke, Shayne",Matthew Kapstein,2,Buddhism and Jainism|Texts and philology,thread_coparticipation
"Clarke, Shayne",Jonathan Silk,2,General scholarly discussion|Texts and philology,thread_coparticipation
Luis Gonzalez-Reimann,Yashwant Malaiya,2,General scholarly discussion,thread_coparticipation
Maran Kathirchelvan,Rajarshi Banerjee,2,General scholarly discussion,thread_coparticipation
Allen W Thrasher,L.S.Cousins,2,General scholarly discussion,thread_coparticipation
Jon Skarpeid,Robert Zydenbos,2,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Rustam Masalewala,2,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Jon Skarpeid,2,General scholarly discussion,thread_coparticipation
David and Nancy Reigle,Stella Sandahl,2,General scholarly discussion,thread_coparticipation
"Clough, Bradley",David and Nancy Reigle,2,General scholarly discussion,thread_coparticipation
James Hartzell,Richard Mahoney | Indica et Buddhica,2,Digital resources and tools|General scholarly discussion,thread_coparticipation
Péter-Dániel Szántó,Tyler Williams,2,General scholarly discussion|Manuscripts and epigraphy,thread_coparticipation
Harry Falk,Nagaraj Paturi,2,General scholarly discussion,thread_coparticipation
Andrea Acri,Walter Slaje,2,Announcements and events|Manuscripts and epigraphy,thread_coparticipation
