source_author,target_author,confidence,weight
Matthew Kapstein,Harry Spier,exact_in_reply_to,7
S.Kalyanaraman,Vishal Agarwal,thread_inferred,7
Dominik Wujastyk,"Olivelle, J P",exact_in_reply_to,7
Lars Martin Fosse,Balaji Hebbar,thread_inferred,7
N. Ganesan,nanda chandran,thread_inferred,7
S Krishna,Lars Martin Fosse,thread_inferred,7
Lars Martin Fosse,Srinivasan Pichumani,thread_inferred,7
Paul Kekai Manansala,Yashwant Malaiya,thread_inferred,7
Nagaraj Paturi,Antonia Ruppel,exact_in_reply_to,7
Vidyasankar Sundaresan,SUBSCRIBE INDOLOGY ganapathi,thread_inferred,7
"Hock, Hans Henrich",Matthew Kapstein,exact_in_reply_to,7
Koenraad Elst,Koenraad Elst,thread_inferred,7
Dominik Wujastyk,Alexandra Vandergeer,thread_inferred,7
Kenneth Zysk,Kenneth Zysk,thread_inferred,7
Madhav Deshpande,Roland Steiner,exact_in_reply_to,7
Vidyasankar Sundaresan,Balaji Hebbar,thread_inferred,7
Matthew Kapstein,Christophe Vielle,exact_in_reply_to,7
Ferenc Ruzsa,Balaji Hebbar,thread_inferred,7
Dominik Wujastyk,Benjamin Fleming,thread_inferred,7
Matthew Kapstein,Arlo Griffiths,exact_in_reply_to,7
Madhav Deshpande,Arlo Griffiths,exact_in_reply_to,7
N. Ganesan,Mary Storm,thread_inferred,7
Anthony P Stone,Anthony P Stone,thread_inferred,7
Lars Martin Fosse,Madhav Deshpande,thread_inferred,7
