person_id,display_name,full_name_ru,n_talks,rinc_search_url,review_status,rinc_author_id,spin,profile_url,reviewer,checked_at,notes,birth_year_estimate,first_publication_year,first_publication_source
PERS_db046be0,Сабирова Римма Наилевна,Сабирова Римма Наилевна,7,https://elibrary.ru/author_items.asp?authorid=&fams=Сабирова,todo,,,,,,rejected_filter:low_works_count=2,,,
PERS_23215083,М. А. Русанов,М. А. Русанов,6,https://elibrary.ru/author_items.asp?authorid=&fams=Русанов,todo,,,,,,rejected_filter:pub_year_pre_2015=2003,,,
PERS_287fe378,Рыбакова Анна Геннадьевна,Рыбакова Анна Геннадьевна,6,https://elibrary.ru/author_items.asp?authorid=&fams=Рыбакова,todo,,,,,,no_match,,,
PERS_8516d1e4,Гасунс Марцис Юрьевич,Гасунс Марцис Юрьевич,6,https://elibrary.ru/author_items.asp?authorid=&fams=Гасунс,todo,,,,,,no_match,,,
PERS_9ad66151,Д. Н. Лелюхин,Д. Н. Лелюхин,6,https://elibrary.ru/author_items.asp?authorid=&fams=Лелюхин,todo,,,,,,no_match,,,
PERS_a84aedaa,Шомахмадов Сафарали Хайбуллоевич,Шомахмадов Сафарали Хайбуллоевич,6,https://elibrary.ru/author_items.asp?authorid=&fams=Шомахмадов,todo,,,,,,rejected_filter:pub_year_pre_2015=2008,,,
PERS_bc97fb65,Краснодембская Нина Георгиевна,Краснодембская Нина Георгиевна,6,https://elibrary.ru/author_items.asp?authorid=&fams=Краснодембская,todo,,,,,,rejected_filter:low_works_count=2,,,
PERS_d2559ba1,Е. С. Лепехова,Е. С. Лепехова,6,https://elibrary.ru/author_items.asp?authorid=&fams=Лепехова,todo,,,,,,no_match,,,
PERS_df6e2007,А. А. Мехакян,А. А. Мехакян,6,https://elibrary.ru/author_items.asp?authorid=&fams=Мехакян,todo,,,,,,no_match,,,
PERS_ebb6d156,А. В. Ложкина,Ложкина Анастасия Витальевна,6,https://elibrary.ru/author_items.asp?authorid=&fams=Ложкина,todo,,,,,,no_match,,,
PERS_efc88709,Канаева Наталия Алексеевна,Канаева Наталия Алексеевна,6,https://elibrary.ru/author_items.asp?authorid=&fams=Канаева,todo,,,,,,rejected_filter:low_works_count=3,,,
PERS_f19cd8a1,Котин Игорь Юрьевич,Котин Игорь Юрьевич,6,https://elibrary.ru/author_items.asp?authorid=&fams=Котин,todo,,,,,,rejected_filter:pub_year_pre_2015=2009,,,
